,0
0,0.8934383
1,0.56551033
2,0.15773283
3,0.29856735
4,0.1098857
5,0.6186027
6,0.6817354
7,0.40185204
8,0.52505136
9,0.2266272
10,0.4646715
11,0.83597654
12,0.69168675
13,0.13513051
14,0.70911574
15,0.08610441
16,0.77389383
17,0.7385235
18,0.5618462
19,0.037431676
20,0.90365005
21,0.9640047
22,0.31302357
23,0.79795706
24,0.34469685
25,0.20208469
26,0.55376625
27,0.7002266
28,0.33580658
29,0.9492807
30,0.18245703
31,0.68748903
32,0.48314208
33,0.77153033
34,0.25874323
35,0.5699738
36,0.010609824
37,0.42890224
38,0.122871965
39,0.40970853
40,0.20129012
41,0.7878294
42,0.08089684
43,0.046936944
44,0.20933476
45,0.31980982
46,0.19399756
47,0.80944175
48,0.88847226
49,0.26252937
50,0.34531334
51,0.39897987
52,0.95973486
53,0.370801
54,0.9940643
55,0.43705085
56,0.18189229
57,0.30698264
58,0.59782064
59,0.736381
60,0.10341999
61,0.63369346
62,0.6473432
63,0.579227
64,0.5059742
65,0.34103084
66,0.61583835
67,0.6328906
68,0.3737779
69,0.60520655
70,0.6619665
71,0.5993999
72,0.81949365
73,0.09599457
74,0.71849865
75,0.9547284
76,0.8690217
77,0.9511121
78,0.015296231
79,0.43323973
80,0.21108153
81,0.5532244
82,0.42387563
83,0.13691747
84,0.86483747
85,0.09864359
86,0.8025072
87,0.7685847
88,0.69328535
89,0.059698742
90,0.29494685
91,0.9045622
92,0.99297255
93,0.228289
94,0.91563535
95,0.37966177
96,0.40083006
97,0.44807503
98,0.10693438
99,0.7536194
