,0
0,0.77558804
1,0.1463038
2,0.24341077
3,0.18704152
4,0.5134959
5,0.54633415
6,0.25820813
7,0.66445935
8,0.09232488
9,0.8844011
10,0.7454089
11,0.29031828
12,0.8426181
13,0.8268371
14,0.6717445
15,0.29234317
16,0.07494469
17,0.65611017
18,0.6656512
19,0.6154856
20,0.69124013
21,0.06046874
22,0.124068625
23,0.71516407
24,0.89287144
25,0.09914156
26,0.41485077
27,0.5789021
28,0.6194139
29,0.7144503
30,0.51065993
31,0.33070463
32,0.5579979
33,0.38893047
34,0.2563141
35,0.50894296
36,0.21511944
37,0.961268
38,0.48617026
39,0.47162226
40,0.8294325
41,0.018783122
42,0.7727986
43,0.46180788
44,0.4818086
45,0.8606056
46,0.979369
47,0.08196496
48,0.3080821
49,0.6186018
50,0.16026247
51,0.5227455
52,0.17480585
53,0.5807005
54,0.78405356
55,0.44641212
56,0.35055304
57,0.14237508
58,0.5895388
59,0.77009755
60,0.7193362
61,0.15839474
62,0.73775244
63,0.043583818
64,0.30821624
65,0.90080035
66,0.8164184
67,0.25427485
68,0.81405383
69,0.58226395
70,0.5366835
71,0.14704065
72,0.47084892
73,0.96311015
74,0.07149273
75,0.7678122
76,0.94697386
77,0.42623425
78,0.07465907
79,0.48498634
80,0.18348905
81,0.94429964
82,0.85707116
83,0.26373982
84,0.28593674
85,0.5278515
86,0.5008679
87,0.9730295
88,0.564076
89,0.5084827
90,0.6882263
91,0.2718765
92,0.6780934
93,0.55627805
94,0.17094892
95,0.5014245
96,0.76535666
97,0.9514676
98,0.87273186
99,0.16025397
